Source	Target	Type	Id	Label	timeset	Weight
dodzyfpl	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14885			2
dodzyfpl	garylineker	Directed	14886			1
zulhimistar	mysemuanyabola	Directed	14888			1
zulhimistar	RT @mysemuanyabola: West Bromwich Albion Pecat Tony Pulis Selepas 3 Tahun Bersama https://t.co/aUOUjH5H15 https://t.co/J4acMbBL4E	Directed	14889			1
gahiao	conteholic	Directed	14890			1
gahiao	RT @Conteholic: Tony Pulis has been sacked by Eden Hazard. More to follow.	Directed	14891			1
brutonwwfc	brutonwwfc	Directed	14892			1
brutonwwfc	Viva Tony Pulis	Directed	14893			1
yoursvr	yoursvr	Directed	14894			1
yoursvr	SPORT: West Brom sack manager Tony Pulis https://t.co/LDBjsQIWGT	Directed	14895			1
simonjplumb	mrdanwalker	Directed	14896			1
simonjplumb	RT @mrdanwalker: Tony Pulis can now have a few months off before turning up to save someone from relegation in January / February.	Directed	14897			1
ben_smith1987	mrdanwalker	Directed	14898			1
ben_smith1987	RT @mrdanwalker: Tony Pulis can now have a few months off before turning up to save someone from relegation in January / February.	Directed	14899			1
scorervic	elspanishgooner	Directed	14900			1
scorervic	RT @elspanishgooner: Spurs humiliated, the press triggered because of a gif, Tony Pulis sacked. If this is a dream don’t you dare waking me…	Directed	14901			1
kierancarroll_	oddsbible	Directed	14902			1
kierancarroll_	"RT @ODDSbible: West Brom have sacked Tony Pulis

One of his best highlights was locking up Saido Berahino during the transfer window...

(🎥…"	Directed	14903			1
jordan_boldsyy	wba	Directed	14904			1
jordan_boldsyy	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	14905			1
oohhhbetty	wba	Directed	14906			1
oohhhbetty	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14907			2
oohhhbetty	garylineker	Directed	14908			1
mancitybrazil	mancitybrazil	Directed	14910			2
mancitybrazil	"🎙Pep: ""Um grande abraço para Tony Pulis. É tão difícil agora. Temos que aceitar isso. Todo mundo sabe quando os man… https://t.co/b8Zl8sQiLd"	Directed	14911			1
mancitybrazil	"🎙Pep: ""Ele [Tony Pulis] é um homem incrível e tão gentil. Espero que possamos compartilhar um vinho tinto novamente no futuro."""	Directed	14913			1
shumi_88	lfcstanleyhouse	Directed	14914			1
shumi_88	RT @LFCStanleyHouse: That should be the end of Tony Pulis being a Premier League manager. If West Brom decide you're too shite for them the…	Directed	14915			1
ybthebest	rorysmith	Directed	14916			1
ybthebest	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14917			1
mquinn65	chronicle_ng	Directed	14918			1
mquinn65	RT @chronicle_ng: West Brom sack Tony Pulis after Chelsea defeat https://t.co/3ShBG85F6N https://t.co/MWUggsHAE7	Directed	14919			1
fujys	wba	Directed	14920			1
fujys	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	14921			1
davidnelson87	wba	Directed	14922			1
davidnelson87	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14923			2
davidnelson87	garylineker	Directed	14924			1
thehoggy	thehoggy	Directed	14926			1
thehoggy	think I speak for all neutrals when I say good riddance to Tony Pulis &amp; hope that we never have to see him in the P… https://t.co/MpnGu4CV04	Directed	14927			1
chronicle_ng	chronicle_ng	Directed	14928			1
chronicle_ng	West Brom sack Tony Pulis after Chelsea defeat https://t.co/3ht64S4lAG https://t.co/Z0IIfjlwSy	Directed	14929			1
csb_id	csb_id	Directed	14930			1
csb_id	West Bromwich Albion Pecat Tony Pulis https://t.co/Y1KoaFncfD	Directed	14931			1
the_volume_180	the_volume_180	Directed	14932			1
the_volume_180	According to Ofcom, internet bandwidth usage has seen a 600% rise in the Midlands since the news of Tony Pulis' dep… https://t.co/TXKSvg6Uqu	Directed	14933			1
dareaderreader	thegoalzone	Directed	14934			1
dareaderreader	RT @thegoalzone: Tony Pulis has been sacked by West Bromwich Albion with the team one point above the relegation zone.The hunt now on for h…	Directed	14935			1
westbromfnh	westbromfnh	Directed	14936			7
westbromfnh	Axed West Brom boss Tony Pulis 'will have another job before the end of the season', claims Joey Bar  https://t.co/rYTtS2aKLb	Directed	14937			1
westbromfnh	"""Big hug for Tony Pulis"" - Pep Guardiola's verdict on West Brom's sacking  https://t.co/JGqrdWUjLL"	Directed	14939			1
westbromfnh	Tony Pulis in numbers - The damning statistics that forced West Brom to act  https://t.co/9yFi1PSi6m	Directed	14941			1
westbromfnh	How West Brom had run out of reasons NOT to sack Tony Pulis  https://t.co/TGga2lM4l9	Directed	14943			1
westbromfnh	Who next for West Brom? We assess Tony Pulis's potential successors  https://t.co/yZHOIuvWw6	Directed	14945			1
westbromfnh	Why it went wrong for Tony Pulis at West Bromwich Albion  https://t.co/lvIhesERuC	Directed	14947			1
westbromfnh	West Brom next manager odds: The runners and riders to replace Tony Pulis  https://t.co/hdLTZl26VP	Directed	14949			1
connorjones07	wba	Directed	14950			1
connorjones07	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14951			2
connorjones07	garylineker	Directed	14952			1
rogerking321	rorysmith	Directed	14954			1
rogerking321	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14955			1
krissmith33	premierleague	Directed	14956			1
krissmith33	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	14957			1
twit_olahraga	twit_olahraga	Directed	14958			1
twit_olahraga	"""West Bromwich Albion Pecat Tony Pulis"" https://t.co/dEwXeRxwNf"	Directed	14959			1
kobe_lex	rorysmith	Directed	14960			1
kobe_lex	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14961			1
ndubya5	rorysmith	Directed	14962			1
ndubya5	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14963			1
evanslevans1158	wba	Directed	14964			1
evanslevans1158	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14965			2
evanslevans1158	garylineker	Directed	14966			1
icechain1	rorysmith	Directed	14968			1
icechain1	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14969			1
ashhh1508	wba	Directed	14970			1
ashhh1508	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	14971			1
ceolalekanolas	rorysmith	Directed	14972			1
ceolalekanolas	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	14973			1
davidlee122lee	wba	Directed	14974			1
davidlee122lee	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	14975			2
davidlee122lee	skysportsnews	Directed	14976			1
stagedooradam	fawales	Directed	14978			1
stagedooradam	"Can't say I'm shocked. Wonder if he'll get the @FAWales job now...?

Tony Pulis: West Brom sack head coach after Ch… https://t.co/jG9YSbX3Gz"	Directed	14979			1
stackyforessex	premierleague	Directed	14980			1
stackyforessex	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	14981			1
my_prez170	premierleague	Directed	14982			1
my_prez170	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	14983			1
austingotschall	premierleague	Directed	14984			1
austingotschall	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	14985			1
wednesday_boi	oddsbible	Directed	14986			1
wednesday_boi	"RT @ODDSbible: West Brom have sacked Tony Pulis

One of his best highlights was locking up Saido Berahino during the transfer window...

(🎥…"	Directed	14987			1
titus3d	city_chief	Directed	14988			1
titus3d	RT @City_Chief: Pep on Pulis sacking: “A big hug for Tony Pulis. It’s so difficult now. We have to accept that. Everybody knows when manage…	Directed	14989			1
karan_cfc	premierleague	Directed	14990			1
karan_cfc	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	14991			1
guanyu__	transferrelated	Directed	14992			1
guanyu__	RT @TransferRelated: BREAKING: Tony Pulis sacked by West Brom. https://t.co/bOJo1RGTNb	Directed	14993			1
keegan22345	wba	Directed	14994			1
keegan22345	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	14995			2
keegan22345	garylineker	Directed	14996			1
irvinespence	trollfootball	Directed	14998			1
irvinespence	@TrollFootball Save a click Tony pulis	Directed	14999			1
faisal_jamal88	rorysmith	Directed	15000			1
faisal_jamal88	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15001			1
__shawnb	wba	Directed	15002			1
__shawnb	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15003			2
__shawnb	skysportsnews	Directed	15004			1
tyjanii	footballpools	Directed	15006			1
tyjanii	"RT @footballpools: Tony Pulis knew his days were numbered the moment this video was aired... 
https://t.co/NwDwulzSIS"	Directed	15007			1
tyjanii	wba	Directed	15008			1
tyjanii	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15009			2
tyjanii	garylineker	Directed	15010			1
_misternur	wba	Directed	15012			2
_misternur	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15013			2
_misternur	skysportsnews	Directed	15014			1
_misternur	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	15017			1
scottwh9	wba	Directed	15018			1
scottwh9	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15019			2
scottwh9	garylineker	Directed	15020			1
hack_geoff	paddypower	Directed	15022			1
hack_geoff	RT @paddypower: West Brom sack Tony Pulis. He leaves the club with a win ratio of 31% and two thousand pounds' worth of clothing from the c…	Directed	15023			1
temitayoe	wba	Directed	15024			1
temitayoe	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15025			2
temitayoe	skysportsnews	Directed	15026			1
iamdineshn	wba	Directed	15028			1
iamdineshn	"It is sad to see one of my favourite manager in football, Tony Pulis, getting sacked!!

@WBA are a bottom-mid table… https://t.co/DaNGWfWqwk"	Directed	15029			1
andycramp3	premierleague	Directed	15030			1
andycramp3	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15031			1
daniellysaght1	paddypower	Directed	15032			1
daniellysaght1	RT @paddypower: West Brom sack Tony Pulis. He leaves the club with a win ratio of 31% and two thousand pounds' worth of clothing from the c…	Directed	15033			1
salilg_lfc	wba	Directed	15034			1
salilg_lfc	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15035			2
salilg_lfc	garylineker	Directed	15036			1
samieltripathi	wba	Directed	15038			1
samieltripathi	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15039			2
samieltripathi	skysportsnews	Directed	15040			1
techonyeka	wba	Directed	15042			1
techonyeka	RT @DeadlineDayLive: BREAKING: West Brom have sacked manager Tony Pulis. (Source: @WBA) https://t.co/UIrBkBfHUF	Directed	15043			2
techonyeka	deadlinedaylive	Directed	15044			1
maliffathi	premierleague	Directed	15046			1
maliffathi	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15047			1
dylan_panther23	premierleague	Directed	15048			1
dylan_panther23	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15049			1
nuckingfutter	wwfcfancast	Directed	15050			1
nuckingfutter	RT @WWFCFancast: Tony Pulis has been sack by West Brom. A sad day for everyone associated with #wolves	Directed	15051			1
swagatosarkar99	mikemccub	Directed	15052			1
swagatosarkar99	@MikeMcCub Tony Pulis Sacked by West Brom	Directed	15053			1
llama_fuzzy2708	premierleague	Directed	15054			1
llama_fuzzy2708	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15055			1
hziqanwr	premierleague	Directed	15056			1
hziqanwr	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15057			1
anderstingsbone	premierleague	Directed	15058			1
anderstingsbone	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15059			1
trevski_lfc	rorysmith	Directed	15060			1
trevski_lfc	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15061			1
paulkeohane	rorysmith	Directed	15062			1
paulkeohane	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15063			1
bikobrian	guardian_sport	Directed	15064			1
bikobrian	RT @guardian_sport: Confirmed: Tony Pulis has been sacked by West Brom … #wba	Directed	15065			1
zaid_msd07	premierleague	Directed	15066			1
zaid_msd07	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15067			1
nicetraining1	training4ladies	Directed	15068			1
nicetraining1	"RT @training4ladies: احدى فعاليات مجموعة وفاق للاستشارات الاجتماعية
مازال مكانك بيننا موجودا🌹
سارعي للالتحاق معنا في لقاء رتبي حياتك!
#الاج…"	Directed	15069			1
charltonedesh	premierleague	Directed	15070			1
charltonedesh	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15071			1
hadeer2224	premierleague	Directed	15072			1
hadeer2224	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15073			1
djacespinz	premierleague	Directed	15074			1
djacespinz	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15075			1
blessed_pison	wba	Directed	15076			1
blessed_pison	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15077			2
blessed_pison	garylineker	Directed	15078			1
8bitbatman	wba	Directed	15080			1
8bitbatman	@WBA announce Tony Pulis' hat. https://t.co/X09FgMZfTg	Directed	15081			1
lostcomposure	wba	Directed	15082			1
lostcomposure	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15083			2
lostcomposure	garylineker	Directed	15084			1
ken_muga	ken_muga	Directed	15086			1
ken_muga	Tony Pulis SACKED by west brom after dreadful run of 10 premier league games without a victory leave them hovering.… https://t.co/XHTZBAdZuX	Directed	15087			1
morrisarsenal	paddypower	Directed	15088			1
morrisarsenal	RT @paddypower: West Brom sack Tony Pulis. He leaves the club with a win ratio of 31% and two thousand pounds' worth of clothing from the c…	Directed	15089			1
_niitro	wba	Directed	15090			1
_niitro	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15091			2
_niitro	garylineker	Directed	15092			1
_niitro	rorysmith	Directed	15094			1
_niitro	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15095			1
manarianz5	wba	Directed	15096			1
manarianz5	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15097			2
manarianz5	garylineker	Directed	15098			1
yusuphkayode	elspanishgooner	Directed	15100			1
yusuphkayode	RT @elspanishgooner: Spurs humiliated, the press triggered because of a gif, Tony Pulis sacked. If this is a dream don’t you dare waking me…	Directed	15101			1
straughany99	wba	Directed	15102			1
straughany99	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15103			2
straughany99	garylineker	Directed	15104			1
hsgooner	fkhanage	Directed	15106			1
hsgooner	RT @fkhanage: Tony Pulis showered with his players. Imagine. Actually, don’t. Save yourself. Haha, you did, didn’t you. You will never unse…	Directed	15107			1
hsgooner	elspanishgooner	Directed	15108			1
hsgooner	RT @elspanishgooner: Spurs humiliated, the press triggered because of a gif, Tony Pulis sacked. If this is a dream don’t you dare waking me…	Directed	15109			1
didim_93	punditjay	Directed	15110			1
didim_93	RT @punditjay: West Brom have gone from Tony Pulis to having Gary Megson take charge of 1st team duties 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂…	Directed	15111			1
harrychan01	wba	Directed	15112			1
harrychan01	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	15113			1
deanjaxn1	wba	Directed	15114			1
deanjaxn1	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15115			2
deanjaxn1	garylineker	Directed	15116			1
selfishgit	footballpools	Directed	15118			1
selfishgit	"RT @footballpools: Tony Pulis knew his days were numbered the moment this video was aired... 
https://t.co/NwDwulzSIS"	Directed	15119			1
mpho_the_real	premierleague	Directed	15120			1
mpho_the_real	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15121			1
aziziothmanmy	aziziothmanmy	Directed	15122			1
aziziothmanmy	"West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/JfLWfnQ4Wr https://t.co/KLWXRiwMca"	Directed	15123			1
mr_rogo14	mr_rogo14	Directed	15124			1
mr_rogo14	Not Tony pulis Abeg 🤔	Directed	15125			1
sdankwambo	wba	Directed	15126			1
sdankwambo	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15127			2
sdankwambo	skysportsnews	Directed	15128			1
dricoboy	premierleague	Directed	15130			1
dricoboy	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15131			1
jaip72	bbcsport	Directed	15132			1
jaip72	"RT @BBCSport: ""These decisions are never taken lightly.""

But it's the end of Tony Pulis' time at West Brom

Thoughts? Use #bbcfootball 

h…"	Directed	15133			1
marktheakston1	rorysmith	Directed	15134			1
marktheakston1	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15135			1
humor_monger	wba	Directed	15136			1
humor_monger	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15137			2
humor_monger	garylineker	Directed	15138			1
craigyweir	davidpeat1	Directed	15140			1
craigyweir	RT @DavidPeat1: The Tony Pulis starter pack. https://t.co/57WIUHuCPE	Directed	15141			1
maricanovic	rorysmith	Directed	15142			1
maricanovic	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15143			1
lindqvist1997	rorysmith	Directed	15144			1
lindqvist1997	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15145			1
jsho14	premierleague	Directed	15146			1
jsho14	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15147			1
billystsurin	eurosport_uk	Directed	15148			1
billystsurin	RT @Eurosport_UK: BREAKING: Tony Pulis sacked as West Brom head coach https://t.co/pQlYQKKw98	Directed	15149			1
raystubbs	adrianjclarke	Directed	15150			1
raystubbs	"RT @talkSPORT2: NOW: Ray Stubbs Show 

w/ @raystubbs &amp; @adrianjclarke 
✔️ Tony Pulis sacked by #WBA
✔️Rugby League 
✔️Non-League Team of th…"	Directed	15151			2
raystubbs	talksport2	Directed	15152			1
tallfair_	wba	Directed	15154			1
tallfair_	RT @GaryLineker: Tony Pulis has been sacked by @WBA. Looking around at those available the best man to help them stay up could well be....T…	Directed	15155			2
tallfair_	garylineker	Directed	15156			1
ryan17ward	wba	Directed	15158			1
ryan17ward	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15159			2
ryan17ward	skysportsnews	Directed	15160			1
flolikelejeune	rorysmith	Directed	15162			1
flolikelejeune	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15163			1
charliecurtis1	oddsbible	Directed	15164			1
charliecurtis1	"RT @ODDSbible: West Brom have sacked Tony Pulis

One of his best highlights was locking up Saido Berahino during the transfer window...

(🎥…"	Directed	15165			1
nwosuk7	rorysmith	Directed	15166			1
nwosuk7	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15167			1
tmrikza	wba	Directed	15168			1
tmrikza	RT @DeadlineDayLive: BREAKING: West Brom have sacked manager Tony Pulis. (Source: @WBA) https://t.co/UIrBkBfHUF	Directed	15169			2
tmrikza	deadlinedaylive	Directed	15170			1
zportt	premierleague	Directed	15172			1
zportt	"VIA @premierleague
West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/GARBWrVXtW https://t.co/9qp4Mo6pU8"	Directed	15173			1
holst24	bbc606	Directed	15174			1
holst24	"RT @FootbalIStuff: Robbie Savage's reaction to a caller saying Tony Pulis should replace Jose Mourinho! Brilliant.😂 (via: @bbc606)
 https:/…"	Directed	15175			2
holst24	footbalistuff	Directed	15176			1
dotunoni_	premierleague	Directed	15178			1
dotunoni_	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15179			1
thekiwioracle	chrismchardy19	Directed	15180			1
thekiwioracle	RT @ChrisMcHardy19: Tony Pulis sacked by West Brom. Can't say I'm surprised. Allardyce for the job? Odds on Pulis getting the Wales job? #c…	Directed	15181			1
peterokubal	premierleague	Directed	15182			1
peterokubal	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15183			1
toxictho	wba	Directed	15184			1
toxictho	RT @SkySportsNews: BREAKING: @WBA have sacked manager Tony Pulis #ssn https://t.co/nWiNfVSQ9M	Directed	15185			2
toxictho	skysportsnews	Directed	15186			1
loshy08	wba	Directed	15188			1
loshy08	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	15189			1
m7medfenoon	premierleague	Directed	15190			1
m7medfenoon	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15191			1
nickchelsea9455	breathechels	Directed	15192			1
nickchelsea9455	RT @BreatheChels: Chelsea have indeed reversed the Hawthorns effect on managers. Tony Pulis sacked. #CFC	Directed	15193			1
nderituricky	premierleague	Directed	15194			1
nderituricky	"RT @premierleague: West Brom have announced the departure of Tony Pulis

More ➡️ https://t.co/WVqniOknbR https://t.co/iTM3UPO3hF"	Directed	15195			1
reemcris	wba	Directed	15196			1
reemcris	"RT @WBA: Club statement on Head Coach Tony Pulis...

#WBA 

https://t.co/Br6CXyHUA0"	Directed	15197			1
rtisantraveller	rtisantraveller	Directed	15198			1
rtisantraveller	Tony Pulis sacked - merchandise sales at West Brom set to plummet...	Directed	15199			1
retwitstorm	rtisantraveller	Directed	15200			1
retwitstorm	RT @rtisantraveller: Tony Pulis sacked - merchandise sales at West Brom set to plummet...	Directed	15201			1
tobbyharrison	tobbyharrison	Directed	15202			1
tobbyharrison	Tony Pulis is a good coach just that he has not evolved with modern day football.	Directed	15203			1
retwitstorm	tobbyharrison	Directed	15204			1
retwitstorm	RT @TobbyHarrison: Tony Pulis is a good coach just that he has not evolved with modern day football.	Directed	15205			1
retwitstorm	rorysmith	Directed	15206			1
retwitstorm	RT @RorySmith: Farewell, Tony Pulis. If God had wanted us to play football on the ground, he wouldn’t have invented the sky.	Directed	15207			1
retwitstorm	oddsbible	Directed	15208			1
